,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Andrei Vasilevskiy,TB,52,35,14,3,2.6,133,"1,605","1,472",.917,3,"3,122"
Connor Hellebuyck,WPG,58,31,21,5,2.6,140,"1,796","1,656",.922,6,"3,269"
Jordan Binnington,STL,50,30,13,7,2.6,126,"1,430","1,304",.912,3,"2,948"
Frederik Andersen,TOR,52,29,13,7,2.9,143,"1,577","1,434",.909,3,"3,007"
Carey Price,MON,58,27,25,6,2.8,160,"1,755","1,595",.909,4,"3,440"
Marc-Andre Fleury,VGK,49,27,16,5,2.8,133,"1,399","1,266",.905,5,"2,880"
Tuukka Rask,BOS,41,26,8,6,2.1,85,"1,189","1,104",.929,5,"2,402"
Braden Holtby,WAS,48,25,14,6,3.1,142,"1,385","1,243",.897,0,"2,743"
David Rittich,CGY,49,24,17,6,3.0,138,"1,484","1,346",.907,2,"2,811"
Carter Hart,PHI,43,24,13,3,2.4,95,"1,100","1,005",.914,1,"2,356"
Sergei Bobrovsky,FLA,50,23,19,6,3.2,151,"1,505","1,354",.900,1,"2,806"
Jacob Markstrom,VAN,43,23,16,4,2.8,117,"1,420","1,303",.918,2,"2,552"
MacKenzie Blackwood,NJ,47,22,14,8,2.8,124,"1,452","1,328",.915,3,"2,684"
Pavel Francouz,COL,34,21,7,4,2.4,77,996,919,.923,1,"1,914"
Ben Bishop,DAL,44,21,16,4,2.5,103,"1,286","1,183",.920,2,"2,474"
Petr Mrazek,CAR,40,21,16,2,2.7,104,"1,091",987,.905,3,"2,321"
Matt Murray,PIT,38,20,11,5,2.9,107,"1,055",948,.899,1,"2,238"
Alex Stalock,MIN,38,20,11,4,2.7,97,"1,082",985,.910,4,"2,177"
John Gibson,ANH,51,20,26,5,3.0,149,"1,552","1,403",.904,1,"2,981"
Tristan Jarry,PIT,33,20,12,1,2.4,78,985,907,.921,3,"1,926"
Semyon Varlamov,NYI,45,19,14,6,2.6,110,"1,278","1,168",.914,2,"2,517"
Joonas Korpisalo,CLS,37,19,12,5,2.6,92,"1,030",938,.911,2,"2,126"
Mike Smith,EDM,39,19,12,6,3.0,106,"1,087",981,.902,1,"2,157"
Robin Lehner,VGK,36,19,10,5,2.9,99,"1,235","1,136",.920,1,"2,055"
Philipp Grubauer,COL,36,18,12,4,2.6,90,"1,067",977,.916,2,"2,057"
Jaroslav Halak,BOS,31,18,6,6,2.4,73,905,832,.919,3,"1,833"
Pekka Rinne,NSH,36,18,14,4,3.2,105,"1,004",899,.895,3,"1,988"
Mikko Koskinen,EDM,38,18,13,3,2.8,97,"1,175","1,078",.917,1,"2,117"
Martin Jones,SJ,41,17,21,2,3.0,118,"1,139","1,021",.896,2,"2,360"
Linus Ullmark,BUF,34,17,14,3,2.7,91,"1,066",975,.915,1,"2,027"
Juuse Saros,NSH,40,17,12,4,2.7,98,"1,142","1,044",.914,4,"2,177"
Alexandar Georgiev,NYR,34,17,14,2,3.1,96,"1,063",967,.910,2,"1,892"
Thomas Greiss,NYI,31,16,9,4,2.8,73,838,765,.913,0,"1,596"
Brian Elliott,PHI,31,16,7,4,2.9,80,796,716,.899,2,"1,674"
Anton Khudobin,DAL,30,16,8,4,2.2,62,882,820,.930,0,"1,677"
Jonathan Quick,LA,42,16,22,4,2.8,117,"1,224","1,107",.904,1,"2,516"
Darcy Kuemper,ARI,29,16,11,2,2.2,65,903,838,.928,2,"1,753"
Corey Crawford,CHI,40,16,20,3,2.8,108,"1,294","1,186",.917,1,"2,340"
Ilya Samsonov,WAS,26,16,6,2,2.6,60,689,629,.913,1,"1,411"
Jonathan Bernier,DET,46,15,22,3,3.0,126,"1,353","1,227",.907,1,"2,566"
Antti Raanta,ARI,33,15,14,3,2.6,80,"1,014",934,.921,2,"1,823"
James Reimer,CAR,25,14,6,2,2.7,61,712,651,.914,3,"1,378"
Elvis Merzlikins,CLS,33,13,9,8,2.4,71,919,848,.923,5,"1,815"
Thatcher Demko,VAN,27,13,10,2,3.1,78,822,744,.905,0,"1,529"
Carter Hutton,BUF,31,12,14,4,3.2,94,918,824,.898,2,"1,775"
Cam Talbot,CGY,26,12,10,1,2.7,63,780,717,.919,2,"1,435"
