,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,78,51,28,79,-35,48,386,10,24,15,0,1,204,22
Corey Perry,DAL,RW,81,43,39,82,32,65,280,9,8,10,0,0,81,28
Joe Pavelski,DAL,RW,82,41,38,79,23,32,225,3,16,15,1,1,47,68
Max Pacioretty,VGK,LW,73,39,21,60,8,35,270,11,10,7,1,0,69,33
Phil Kessel,ARI,RW,82,37,43,80,-5,27,305,6,8,12,0,0,25,30
Tyler Seguin,DAL,C,80,37,47,84,16,18,294,8,11,14,0,0,48,24
Sidney Crosby,PIT,C,80,36,68,104,18,46,259,5,11,27,0,0,47,28
Chris Kunitz,FA,LW,78,35,33,68,25,66,218,8,13,9,0,0,157,25
Patrick Sharp,FA,LW,82,34,44,78,13,40,313,3,10,15,0,0,55,27
Jamie Benn,DAL,C,81,34,45,79,21,64,279,3,5,14,1,2,118,60
Ryan Johansen,NSH,C,82,33,30,63,3,43,237,5,7,13,0,0,114,39
Patrick Marleau,PIT,LW,82,33,37,70,0,18,285,4,11,12,2,0,85,29
Alexander Steen,STL,LW,68,33,29,62,17,46,211,9,7,10,1,2,43,28
Jeff Skinner,BUF,LW,71,33,21,54,-14,22,274,6,11,9,0,0,22,8
Ryan Getzlaf,ANH,C,77,31,56,87,28,31,204,7,5,18,0,0,110,87
Marian Hossa,FA,RW,72,30,30,60,28,20,241,4,4,9,3,1,43,26
Patrice Bergeron,BOS,C,80,30,32,62,38,43,243,7,7,4,1,3,52,57
Jarome Iginla,FA,RW,78,30,31,61,34,47,209,8,4,10,0,0,142,27
Martin St. Louis,FA,RW,81,30,39,69,13,10,204,5,9,12,1,1,24,38
James van Riemsdyk,PHI,LW,80,30,31,61,-9,50,279,3,9,6,2,2,118,29
Jason Pominville,FA,RW,82,30,30,60,3,16,226,5,7,10,0,0,23,31
Wayne Simmonds,BUF,RW,82,29,31,60,-4,106,209,4,15,9,0,0,132,35
Anze Kopitar,LA,C,82,29,41,70,34,24,200,9,10,13,0,0,90,44
Zach Parise,MIN,LW,67,29,27,56,10,30,245,5,14,6,1,0,70,45
Patrick Kane,CHI,RW,69,29,40,69,7,22,227,6,10,15,0,0,16,15
Ryan O'Reilly,STL,C,80,28,36,64,-1,2,201,6,9,13,0,0,22,43
David Perron,STL,RW,78,28,29,57,-16,90,220,2,8,5,1,0,116,20
Claude Giroux,PHI,C,82,28,58,86,7,46,223,7,7,30,0,0,90,46
Jonathan Toews,CHI,C,76,28,40,68,26,34,193,5,5,10,3,2,29,20
Jordan Eberle,NYI,RW,80,28,37,65,-11,18,200,4,7,13,1,0,51,40
Blake Wheeler,WPG,RW,82,28,41,69,4,63,225,4,8,11,0,0,150,68
Gustav Nyquist,CLS,RW,57,28,20,48,16,10,153,6,6,3,0,0,18,14
Taylor Hall,ARI,LW,75,27,53,80,-15,44,250,1,7,10,0,1,54,41
James Neal,EDM,RW,59,27,34,61,15,55,238,4,11,15,0,0,58,23
David Backes,ANH,RW,74,27,30,57,14,119,165,5,10,6,0,0,273,56
Thomas Vanek,FA,LW,78,27,41,68,7,46,248,4,8,10,0,0,30,17
Kyle Okposo,BUF,RW,71,27,42,69,-9,51,195,4,5,10,0,0,43,35
Jeff Carter,LA,C,72,27,23,50,8,44,256,5,8,6,1,0,68,29
Gabriel Landeskog,COL,LW,81,26,39,65,21,71,222,4,5,5,0,0,176,52
Michael Cammalleri,FA,LW,63,26,19,45,-13,26,191,8,6,8,0,0,26,29
Kyle Turris,NSH,C,82,26,32,58,22,39,215,5,6,8,2,1,45,33
Rick Nash,FA,LW,65,26,13,39,10,36,258,9,4,3,2,2,11,29
Ryan Kesler,ANH,C,77,25,18,43,-15,81,239,5,9,7,1,0,133,68
Paul Stastny,VGK,C,71,25,35,60,9,22,150,4,4,11,0,1,54,46
Steven Stamkos,TB,C,37,25,15,40,9,18,124,5,9,4,1,0,50,16
Troy Brouwer,STL,RW,82,25,18,43,-6,92,161,3,12,9,0,0,210,39
Brad Marchand,BOS,LW,82,25,28,53,36,64,149,5,1,1,5,0,73,23
Adam Henrique,ANH,C,77,25,18,43,3,20,137,4,7,5,3,2,73,50
Frans Nielsen,DET,C,80,25,33,58,-11,8,167,0,5,15,2,1,39,47
Jaden Schwartz,STL,LW,80,25,31,56,28,27,188,1,5,5,3,0,54,32
Valtteri Filppula,DET,C,75,25,33,58,5,20,131,2,6,14,0,0,33,33
Jaromir Jagr,FA,RW,82,24,43,67,16,46,231,6,5,12,0,0,4,9
Antoine Vermette,FA,C,82,24,21,45,0,44,160,4,7,6,3,0,90,71
Milan Lucic,CGY,LW,80,24,35,59,30,91,153,5,3,9,0,0,240,22
Clarke MacArthur,OTT,LW,79,24,31,55,12,78,159,5,8,7,1,2,108,20
John Tavares,TOR,C,59,24,42,66,-6,40,188,4,8,17,0,0,23,19
Tyler Johnson,TB,C,82,24,26,50,23,26,181,4,5,5,5,1,55,37
Joel Ward,FA,RW,82,24,25,49,7,32,133,4,6,4,2,0,54,67
Craig Smith,NSH,RW,79,24,28,52,16,22,215,4,7,3,0,0,54,21
Nathan MacKinnon,COL,C,82,24,39,63,20,26,241,5,8,9,0,0,57,45
Jakub Voracek,PHI,LW,82,23,39,62,11,22,235,2,8,15,0,0,19,20
Shane Doan,FA,RW,69,23,24,47,-7,34,167,4,10,9,0,0,135,22
Ondrej Palat,TB,LW,81,23,36,59,32,20,165,3,3,8,2,2,146,64
Matt Duchene,NSH,C,71,23,47,70,8,19,217,6,5,12,0,0,53,44
Evgeni Malkin,PIT,C,60,23,49,72,10,62,191,3,7,23,0,0,27,18
Andrew Ladd,NYI,LW,78,23,31,54,8,57,189,2,4,8,0,2,154,42
Bobby Ryan,OTT,RW,70,23,25,48,7,45,190,2,6,3,0,0,104,30
Jason Spezza,TOR,C,75,23,43,66,-26,46,223,5,9,13,0,0,17,26
Matt Moulson,WAS,LW,75,23,28,51,2,34,176,5,9,10,0,0,46,43
Bryan Little,WPG,C,82,23,41,64,8,58,170,1,8,7,2,2,84,38
Logan Couture,SJ,C,65,23,31,54,21,20,233,6,4,9,2,2,16,68
Shea Weber,MON,D,79,23,33,56,-2,52,195,4,12,14,0,0,169,173
Sean Monahan,CGY,C,75,22,12,34,-20,8,140,2,3,4,0,0,42,23
Brent Burns,SJ,D,69,22,26,48,26,34,245,3,2,9,0,0,145,24
Alexander Semin,FA,LW,65,22,20,42,1,42,210,3,6,6,1,0,22,30
Nick Bonino,NSH,C,77,22,27,49,14,22,159,2,7,13,0,0,28,68
Artem Anisimov,OTT,C,81,22,17,39,-2,20,162,5,3,3,2,0,31,55
Patric Hornqvist,PIT,RW,76,22,31,53,1,28,248,6,7,10,0,0,77,34
Joffrey Lupul,FA,LW,69,22,22,44,-15,44,191,1,6,6,0,0,118,35
Matt Read,TOR,RW,75,22,18,40,-4,16,151,3,0,2,4,0,72,54
Tyler Ennis,EDM,LW,80,21,22,43,-25,42,210,0,6,10,0,0,89,53
Eric Staal,MIN,C,79,21,40,61,-13,74,230,0,1,11,2,2,67,28
Vladimir Tarasenko,STL,RW,64,21,22,43,20,16,136,3,5,2,0,0,22,9
Andrew Cogliano,DAL,LW,82,21,21,42,13,26,157,5,0,0,3,2,94,36
Jussi Jokinen,FA,LW,81,21,36,57,12,18,172,4,6,15,0,0,34,31
Cam Atkinson,CLS,RW,79,21,19,40,-4,18,216,5,4,5,1,0,55,38
Brad Boyes,FA,RW,78,21,15,36,-6,28,176,1,2,1,1,0,46,35
T.J. Oshie,WAS,RW,79,21,39,60,19,42,152,5,5,10,2,1,77,54
Tomas Plekanec,FA,C,81,20,23,43,11,38,199,5,3,7,3,0,44,45
Mike Fisher,FA,C,75,20,29,49,-4,60,177,4,4,7,0,0,144,73
Andrew Shaw,CHI,C,80,20,19,39,12,76,149,2,5,4,0,0,168,16
Radim Vrbata,FA,RW,80,20,31,51,-6,22,263,2,10,11,0,0,68,27
Reilly Smith,VGK,RW,82,20,31,51,28,14,146,3,6,8,0,0,63,14
Dustin Byfuglien,FA,D,78,20,36,56,-20,86,256,1,8,18,0,0,213,80
Nazem Kadri,COL,C,78,20,30,50,-11,67,148,2,7,11,0,0,141,34
Brad Richards,FA,C,82,20,31,51,-8,18,259,2,5,14,0,0,24,43
Scott Hartnell,FA,LW,78,20,32,52,11,103,207,3,9,11,0,0,155,39
Brayden Schenn,STL,C,82,20,21,41,0,54,178,6,4,5,0,0,200,37
Cody Hodgson,FA,LW,72,20,24,44,-26,20,182,0,9,10,0,0,47,22
Erik Karlsson,SJ,D,82,20,54,74,-15,36,257,1,5,26,0,0,122,101
Vincent Lecavalier,FA,C,69,20,17,37,-16,44,132,3,8,5,0,0,77,19
Justin Williams,CAR,RW,82,19,24,43,14,48,239,1,4,3,0,0,44,21
Evander Kane,SJ,LW,63,19,22,41,-7,66,250,4,1,4,2,0,173,36
Jamie McGinn,FA,LW,79,19,19,38,-3,30,167,3,5,4,0,0,140,35
Tomas Tatar,MON,LW,73,19,20,39,12,30,158,3,2,4,0,0,81,20
Ryan Nugent-Hopkins,EDM,LW,80,19,37,56,-12,26,178,4,6,14,0,0,72,35
Mason Raymond,FA,LW,82,19,26,45,-6,22,178,4,6,5,1,1,38,24
Mikkel Boedker,OTT,LW,82,19,32,51,-9,20,166,1,5,11,0,0,105,16
Brandon Saad,CHI,LW,78,19,28,47,20,20,159,2,3,6,0,2,48,20
David Krejci,BOS,C,80,19,50,69,39,28,169,6,3,16,0,0,75,56
Tyler Bozak,STL,C,58,19,30,49,2,14,90,1,5,3,1,0,62,42
Mats Zuccarello,MIN,RW,77,19,40,59,11,32,170,4,4,13,1,0,116,41
Brendan Gallagher,MON,RW,81,19,22,41,4,73,211,0,8,1,0,0,38,36
Nicklas Backstrom,WAS,C,82,18,61,79,-20,54,196,1,6,38,1,0,89,54
Nick Foligno,CLS,LW,70,18,21,39,5,96,111,5,3,3,0,0,210,42
R.J. Umberger,FA,LW,74,18,16,34,-3,26,136,3,8,4,1,1,113,36
Mathieu Perreault,WPG,C,69,18,25,43,13,36,120,1,4,5,0,0,73,15
Michael Ryder,FA,RW,82,18,16,34,-6,18,166,2,4,4,1,0,51,10
Patrik Elias,FA,LW,65,18,35,53,-4,30,116,1,4,13,2,4,26,19
Travis Zajac,NJ,C,80,18,30,48,3,28,165,3,3,12,0,0,53,25
Derick Brassard,NYI,C,81,18,27,45,2,46,159,4,7,11,0,0,124,19
Brian Gionta,FA,RW,81,18,22,40,1,22,184,3,2,5,0,1,46,52
Mikael Backlund,CGY,C,76,18,21,39,4,32,178,3,5,6,4,0,64,62
Daniel Alfredsson,FA,RW,68,18,31,49,2,10,151,4,4,14,0,0,59,25
Olli Jokinen,FA,C,82,18,25,43,-8,62,171,1,2,6,0,0,120,45
Jiri Hudler,FA,RW,75,17,37,54,4,16,109,1,2,11,0,0,35,15
Ryan Garbutt,FA,RW,75,17,15,32,10,106,165,1,0,0,2,0,141,47
Derek Stepan,ARI,C,82,17,40,57,12,18,199,2,5,13,0,3,30,46
Chris Higgins,FA,LW,78,17,22,39,-14,30,216,4,2,1,0,1,98,45
Carl Hagelin,WAS,LW,72,17,16,33,8,44,144,5,0,0,1,0,64,33
Alex Killorn,TB,C,82,17,24,41,8,63,173,2,3,5,0,0,77,31
Pavel Datsyuk,FA,C,45,17,20,37,1,6,126,2,6,6,0,0,30,22
Zdeno Chara,BOS,D,77,17,23,40,25,66,168,3,10,5,0,1,163,104
Milan Michalek,FA,LW,82,17,22,39,-25,41,169,1,4,4,0,0,86,31
Ryan Callahan,OTT,RW,65,17,19,36,1,24,163,3,7,5,1,0,189,60
Chris Kreider,NYR,LW,66,17,20,37,14,72,136,0,6,6,0,0,146,18
Nathan Gerbe,CLS,LW,81,16,15,31,-6,36,221,1,3,4,2,0,53,15
Drew Stafford,FA,RW,70,16,18,34,-19,39,185,1,2,5,1,0,78,25
Erik Cole,FA,RW,75,16,13,29,-17,20,139,4,3,4,0,0,89,21
Cody Eakin,WPG,C,81,16,19,35,-9,36,161,2,3,3,1,0,91,58
Tommy Wingels,FA,RW,77,16,22,38,11,35,163,7,0,5,2,1,218,58
Jiri Tlusty,FA,LW,68,16,14,30,2,22,131,5,0,1,2,0,88,38
Sean Bergenheim,FA,LW,62,16,13,29,-16,40,190,3,3,1,0,0,111,18
Daniel Sedin,FA,LW,73,16,31,47,0,38,224,4,5,13,0,0,37,21
Brandon Dubinsky,CLS,C,76,16,34,50,5,98,189,2,4,6,2,2,234,39
David Desharnais,FA,C,79,16,36,52,11,24,96,2,3,12,0,0,23,35
Mika Zibanejad,NYR,C,69,16,17,33,-15,18,153,0,3,5,0,0,118,28
Johan Franzen,DET,RW,54,16,25,41,6,40,149,4,7,10,0,0,66,23
Henrik Zetterberg,DET,LW,45,16,32,48,19,20,151,1,3,14,0,0,23,15
Carl Soderberg,ARI,C,73,16,32,48,4,36,129,3,5,11,0,0,52,36
Boone Jenner,CLS,LW,72,16,13,29,6,45,127,5,4,3,0,0,212,37
Nick Bjugstad,PIT,C,76,16,22,38,-14,16,185,4,0,3,1,1,117,23
Mike Ribeiro,FA,C,80,16,31,47,-13,52,110,3,4,11,0,0,72,18
