,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
0,2014,Carey Price,MON,66,44,16,6,2.0,130,1953,1823,0.9329999999999999,9,3977
1,2014,Pekka Rinne,NSH,64,41,17,6,2.2,140,1807,1667,0.9229999999999999,4,3851
2,2014,Braden Holtby,WAS,73,41,20,10,2.2,157,2044,1887,0.9229999999999999,9,4247
3,2014,Ben Bishop,DAL,62,40,13,5,2.3,136,1620,1484,0.9159999999999999,4,3519
4,2014,Jaroslav Halak,BOS,59,38,17,4,2.4,144,1673,1529,0.914,6,3550
5,2014,Devan Dubnyk,MIN,58,36,14,4,2.1,115,1625,1510,0.929,6,3328
6,2014,Jonathan Quick,LA,72,36,22,13,2.3,156,1896,1740,0.9179999999999999,6,4184
7,2014,Frederik Andersen,TOR,54,35,12,5,2.4,123,1436,1313,0.914,3,3106
8,2014,Kari Lehtonen,FA,65,34,17,10,3.0,181,1875,1694,0.903,5,3698
9,2014,Tuukka Rask,BOS,70,34,21,13,2.3,156,2011,1855,0.922,3,4063
10,2014,Marc-Andre Fleury,VGK,64,34,20,9,2.3,146,1831,1685,0.92,10,3776
11,2014,Corey Crawford,CHI,57,32,20,5,2.3,126,1661,1535,0.924,2,3333
12,2014,Antti Niemi,FA,61,31,23,7,2.6,155,1811,1656,0.914,5,3588
13,2014,Sergei Bobrovsky,FLA,51,30,17,3,2.7,134,1632,1498,0.9179999999999999,2,2994
14,2014,Henrik Lundqvist,NYR,46,30,13,3,2.3,103,1329,1226,0.922,5,2743
15,2014,Ryan Miller,ANH,45,29,15,1,2.5,107,1198,1091,0.9109999999999999,6,2542
16,2014,Semyon Varlamov,NYI,57,28,20,8,2.6,141,1791,1650,0.9209999999999999,5,3307
17,2014,Roberto Luongo,FA,61,28,19,12,2.4,138,1743,1605,0.9209999999999999,2,3528
18,2014,Brian Elliott,PHI,46,26,14,3,2.3,96,1150,1054,0.917,5,2546
19,2014,Jonas Hiller,FA,52,26,19,4,2.4,113,1376,1263,0.9179999999999999,1,2871
20,2014,Cory Schneider,NJ,69,26,31,9,2.3,148,1982,1834,0.925,5,3924
21,2014,Jimmy Howard,DET,53,23,13,11,2.5,121,1350,1229,0.91,2,2971
22,2014,Jake Allen,STL,37,22,7,4,2.3,79,909,830,0.9129999999999999,4,2077
23,2014,Ondrej Pavelec,FA,50,22,16,8,2.3,108,1353,1245,0.92,5,2838
24,2014,Cam Ward,FA,51,22,24,5,2.4,121,1351,1230,0.91,1,3026
25,2014,Cam Talbot,CGY,36,21,9,4,2.2,77,1038,961,0.9259999999999999,5,2095
26,2014,Jonathan Bernier,DET,58,21,28,7,2.9,152,1735,1583,0.912,2,3177
27,2014,Michael Hutchinson,COL,38,21,10,5,2.4,85,986,901,0.914,2,2138
28,2014,Andrew Hammond,BUF,24,20,1,2,1.8,42,707,665,0.941,3,1411
29,2014,Jhonas Enroth,FA,50,18,26,2,3.1,145,1504,1359,0.904,2,2834
30,2014,Steve Mason,FA,51,18,18,11,2.3,108,1490,1382,0.9279999999999999,3,2885
31,2014,Eddie Lack,FA,41,18,13,4,2.5,95,1201,1106,0.9209999999999999,2,2324
32,2014,Petr Mrazek,CAR,29,16,9,2,2.4,63,768,705,0.9179999999999999,3,1585
33,2014,Karri Ramo,FA,34,15,9,3,2.6,75,852,777,0.912,2,1732
34,2014,Ben Scrivens,FA,57,15,26,11,3.2,170,1542,1372,0.89,1,3228
35,2014,Darcy Kuemper,ARI,31,14,12,2,2.6,68,718,650,0.905,3,1569
36,2014,Craig Anderson,OTT,35,14,13,8,2.5,87,1134,1047,0.9229999999999999,3,2093
37,2014,Mike Smith,EDM,62,14,42,5,3.2,187,1955,1768,0.904,0,3556
38,2014,John Gibson,ANH,23,13,8,0,2.6,58,674,616,0.914,1,1340
39,2014,Curtis McElhinney,TB,32,12,14,2,2.9,82,949,867,0.914,0,1710
40,2014,Ray Emery,FA,31,10,11,7,3.1,80,758,678,0.894,0,1570
41,2014,James Reimer,CAR,35,9,16,1,3.2,93,1001,908,0.907,0,1767
42,2014,Robin Lehner,VGK,25,9,12,3,3.0,74,779,705,0.905,0,1471
43,2014,Thomas Greiss,NYI,20,9,6,3,2.6,50,546,496,0.9079999999999999,0,1159
44,2014,Scott Darling,FA,14,9,4,0,2.0,27,419,392,0.9359999999999999,1,833
45,2014,Anton Khudobin,DAL,34,8,17,6,2.7,87,874,787,0.9,1,1920
46,2014,Chad Johnson,FA,19,8,8,1,3.1,54,488,434,0.889,0,1053
47,2014,Alex Stalock,MIN,22,8,9,2,2.6,54,553,499,0.902,2,1237
48,2014,Michal Neuvirth,FA,32,7,20,4,3.0,92,1067,975,0.914,0,1850
49,2014,Niklas Svedberg,FA,18,7,5,1,2.4,35,425,390,0.9179999999999999,2,900
50,2014,Andrei Vasilevskiy,TB,16,7,5,1,2.4,34,415,381,0.9179999999999999,1,864
51,2014,Antti Raanta,ARI,14,7,4,1,1.9,25,389,364,0.9359999999999999,2,792
52,2014,Anders Lindback,FA,26,6,16,2,3.1,73,798,725,0.909,0,1408
53,2014,Al Montoya,FA,20,6,7,2,3.0,49,453,404,0.892,0,977
54,2014,Viktor Fasth,FA,26,6,15,3,3.4,76,681,605,0.888,0,1336
55,2014,Keith Kinkaid,MON,19,6,5,4,2.6,40,469,429,0.915,0,925
56,2014,Calvin Pickard,DET,16,6,7,3,2.4,35,511,476,0.932,0,895
57,2014,Dustin Tokarski,PIT,17,6,6,4,2.8,46,509,463,0.91,0,1005
58,2014,Carter Hutton,BUF,18,6,7,4,2.6,44,450,406,0.902,1,1010
59,2014,Rob Zepp,FA,10,5,2,0,2.9,25,223,198,0.888,0,519
60,2014,Niklas Backstrom,FA,19,5,7,3,3.1,51,452,401,0.887,0,1005
61,2014,Reto Berra,FA,19,5,4,1,2.7,33,403,370,0.9179999999999999,1,748
62,2014,Martin Jones,SJ,15,4,5,2,2.3,29,307,278,0.9059999999999999,3,775
63,2014,Dan Ellis,FA,8,4,3,1,2.4,19,221,202,0.914,1,486
64,2014,Joni Ortio,FA,6,4,2,0,2.5,14,153,139,0.9079999999999999,1,333
65,2014,Martin Brodeur,FA,7,3,3,0,2.9,17,169,152,0.899,1,356
66,2014,Jonas Gustavsson,FA,7,3,3,1,2.6,15,168,153,0.9109999999999999,1,351
67,2014,Justin Peters,FA,12,3,6,1,3.3,35,294,259,0.8809999999999999,0,647
68,2014,Richard Bachman,VAN,7,3,2,0,2.9,15,168,153,0.9109999999999999,1,317
69,2014,Evgeni Nabokov,FA,11,3,6,2,3.2,29,245,216,0.882,0,553
70,2014,Mackenzie Skapski,FA,2,2,0,0,0.5,1,45,44,0.978,1,119
